0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,39.0,35.0,36.0,34.0,41.0,51.0,52.0,50.0,47.0,44.0,40.0,9.0,36.0,6.0,35.0,35.0,10.0,7.0,44.0,41.0,36.0,5.0,0.0,43.0,2.0,8.0,44.0,37.0,0.0,35.0,37.0,0.0,5.0,37.0,3.0,1.0,6.0,7.0,35.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,50.0,46.0,35.0,34.0,40.0,44.0,34.0,46.0,52.0,54.0,36.0,49.0,6.0,44.0,38.0,35.0,38.0,49.0,3.0,2.0,4.0,9.0,5.0,42.0,2.0,38.0,3.0,5.0,42.0,37.0,1.0,0.0,38.0,9.0,1.0,36.0,38.0,44.0,10.0,42.0,35.0,38.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47.0,37.0,39.0,54.0,39.0,48.0,37.0,47.0,40.0,47.0,6.0,34.0,36.0,36.0,40.0,41.0,40.0,6.0,36.0,42.0,43.0,4.0,44.0,35.0,39.0,8.0,9.0,41.0,10.0,40.0,36.0,1.0,10.0,44.0,40.0,4.0,37.0,35.0,36.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,46.0,46.0,36.0,47.0,47.0,41.0,53.0,36.0,49.0,46.0,54.0,40.0,2.0,37.0,38.0,1.0,44.0,55.0,0.0,40.0,41.0,6.0,36.0,44.0,34.0,6.0,5.0,7.0,2.0,4.0,3.0,7.0,43.0,44.0,0.0,41.0,39.0,2.0,35.0,39.0,9.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,47.0,39.0,48.0,51.0,43.0,40.0,37.0,53.0,0.0,41.0,1.0,42.0,1.0,49.0,44.0,5.0,41.0,36.0,6.0,7.0,36.0,40.0,36.0,8.0,0.0,6.0,35.0,1.0,38.0,44.0,7.0,37.0,36.0,7.0,4.0,8.0,41.0,41.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,53.0,34.0,41.0,39.0,49.0,41.0,41.0,51.0,54.0,35.0,38.0,37.0,45.0,38.0,51.0,42.0,3.0,7.0,41.0,5.0,43.0,52.0,6.0,10.0,0.0,35.0,7.0,4.0,34.0,5.0,41.0,35.0,10.0,44.0,36.0,37.0,9.0,10.0,43.0,5.0,38.0,2.0,42.0,39.0,4.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,46.0,44.0,42.0,42.0,54.0,50.0,45.0,37.0,35.0,45.0,43.0,4.0,41.0,40.0,2.0,36.0,43.0,7.0,1.0,37.0,43.0,41.0,5.0,41.0,37.0,34.0,7.0,9.0,34.0,1.0,35.0,10.0,5.0,5.0,10.0,39.0,9.0,39.0,37.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,37.0,50.0,41.0,36.0,38.0,41.0,36.0,10.0,9.0,10.0,36.0,2.0,4.0,44.0,42.0,40.0,6.0,0.0,5.0,1.0,38.0,37.0,36.0,6.0,38.0,2.0,40.0,9.0,44.0,2.0,34.0,39.0,0.0,43.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,52.0,44.0,46.0,36.0,43.0,51.0,36.0,42.0,34.0,49.0,41.0,52.0,54.0,42.0,39.0,49.0,9.0,6.0,38.0,35.0,43.0,53.0,40.0,42.0,3.0,40.0,9.0,39.0,2.0,43.0,36.0,34.0,6.0,6.0,40.0,0.0,41.0,4.0,37.0,3.0,44.0,40.0,8.0,35.0,37.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,41.0,39.0,44.0,36.0,41.0,35.0,52.0,48.0,42.0,55.0,47.0,35.0,45.0,55.0,35.0,7.0,36.0,3.0,9.0,5.0,39.0,2.0,36.0,42.0,1.0,35.0,42.0,36.0,36.0,39.0,42.0,44.0,43.0,42.0,40.0,7.0,38.0,8.0,34.0,10.0,41.0,44.0,44.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,49.0,36.0,40.0,41.0,45.0,42.0,50.0,38.0,55.0,48.0,49.0,38.0,38.0,34.0,2.0,43.0,44.0,39.0,36.0,7.0,35.0,43.0,1.0,44.0,4.0,42.0,0.0,37.0,35.0,42.0,10.0,41.0,34.0,10.0,42.0,6.0,40.0,2.0,4.0,9.0,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,36.0,47.0,55.0,47.0,39.0,54.0,35.0,40.0,36.0,44.0,42.0,43.0,6.0,41.0,41.0,49.0,36.0,3.0,37.0,2.0,10.0,42.0,7.0,34.0,38.0,2.0,44.0,9.0,1.0,3.0,40.0,39.0,34.0,34.0,35.0,40.0,4.0,5.0,4.0,42.0
,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,38.0,43.0,46.0,50.0,42.0,52.0,53.0,35.0,7.0,37.0,4.0,43.0,10.0,43.0,42.0,44.0,1.0,43.0,38.0,36.0,1.0,8.0,7.0,2.0,39.0,4.0,8.0,36.0,2.0,35.0,36.0,42.0,5.0,6.0,41.0,1.0,9.0,44.0
,,,,,,,,,,,,,,,,,,,,,,,,1870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,42.0,44.0,52.0,47.0,41.0,43.0,41.0,40.0,54.0,41.0,34.0,9.0,40.0,39.0,35.0,41.0,44.0,6.0,8.0,5.0,39.0,39.0,43.0,4.0,41.0,2.0,40.0,0.0,43.0,6.0,44.0,38.0,40.0,0.0,5.0,37.0,8.0,10.0,34.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,49.0,50.0,37.0,46.0,44.0,36.0,34.0,52.0,6.0,5.0,39.0,44.0,34.0,36.0,5.0,9.0,40.0,5.0,41.0,4.0,6.0,34.0,36.0,2.0,42.0,39.0,5.0,9.0,7.0,1.0,36.0,40.0,44.0,9.0,2.0,42.0,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,42.0,49.0,42.0,2.0,37.0,2.0,4.0,37.0,3.0,38.0,1.0,38.0,40.0,42.0,36.0,43.0,5.0,8.0,4.0,10.0,36.0,5.0,37.0,42.0,9.0,2.0,42.0,42.0,36.0,1.0,43.0,44.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,47.0,41.0,39.0,52.0,36.0,49.0,41.0,52.0,38.0,55.0,53.0,37.0,5.0,35.0,44.0,44.0,47.0,41.0,7.0,2.0,38.0,8.0,6.0,0.0,44.0,34.0,2.0,1.0,34.0,1.0,9.0,38.0,6.0,40.0,9.0,44.0,8.0,44.0,37.0,40.0,35.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,34.0,49.0,39.0,44.0,50.0,36.0,54.0,45.0,6.0,10.0,38.0,8.0,4.0,48.0,42.0,6.0,35.0,10.0,7.0,7.0,41.0,41.0,10.0,38.0,42.0,39.0,35.0,6.0,8.0,1.0,42.0,7.0,9.0,34.0,6.0,5.0,0.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,51.0,34.0,52.0,40.0,51.0,43.0,52.0,47.0,39.0,39.0,2.0,1.0,37.0,35.0,40.0,35.0,6.0,0.0,9.0,36.0,5.0,35.0,35.0,8.0,43.0,44.0,35.0,0.0,38.0,40.0,10.0,8.0,8.0,44.0,43.0,1.0,7.0,42.0,4.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,53.0,37.0,55.0,51.0,41.0,5.0,39.0,0.0,40.0,36.0,2.0,34.0,3.0,0.0,39.0,6.0,2.0,37.0,36.0,39.0,6.0,34.0,1.0,35.0,36.0,10.0,0.0,39.0,3.0,36.0,10.0,4.0,8.0,1.0
